"Date","K .Madahalli","Singanallur"
2016-01-23,0.229323863983154,0.187081798911095
2016-01-24,0.2039924710989,0.180261477828026
2016-01-25,0.193915382027626,0.175537630915642
2016-01-26,0.191441223025322,0.165455356240273
2016-01-27,0.183019712567329,0.163325890898705
2016-01-28,0.174520656466484,0.15538389980793
2016-01-29,0.159640833735466,0.149658486247063
2016-01-30,0.159217551350594,0.149876728653908
2016-01-31,0.159820333123207,0.137507051229477
2016-02-01,0.15757554769516,0.138482540845871
2016-02-02,0.153442218899727,0.136637464165688
2016-02-03,0.147987201809883,0.129002347588539
2016-02-04,0.14395509660244,0.128528520464897
2016-02-05,0.147712364792824,0.131804540753365
2016-02-06,0.144642814993858,0.137758567929268
2016-02-07,0.147876411676407,0.138222068548203
2016-02-08,0.152982667088509,0.142148897051811
2016-02-09,0.150133207440376,0.139598935842514
2016-02-10,0.148493483662605,0.136945933103561
2016-02-11,0.149978518486023,0.119937151670456
2016-02-12,0.144779726862907,0.121054127812386
2016-02-13,0.145514607429504,0.116065710783005
2016-02-14,0.137279659509659,0.118394032120705
2016-02-15,0.135071530938148,0.118619844317436
2016-02-16,0.133774593472481,0.116122543811798
2016-02-17,0.135399833321571,0.117435805499554
2016-02-18,0.135697260499001,0.11570331454277
2016-02-19,0.127397134900093,0.128026857972145
2016-02-20,0.126751914620399,0.123453222215176
2016-02-21,0.130754545331001,0.116631500422955
2016-02-22,0.127430841326714,0.119856551289558
2016-02-23,0.122184455394745,0.113902792334557
2016-02-24,0.116345249116421,0.106876000761986
2016-02-25,0.115057766437531,0.103741332888603
2016-02-26,0.114688336849213,0.1040368527174
2016-02-27,0.114241614937782,0.10789081454277
2016-02-28,0.112186521291733,0.107170715928078
2016-02-29,0.109265118837357,0.096904493868351
2016-03-01,0.113952860236168,0.09003596752882
2016-03-02,0.116668984293938,0.0946605429053307
2016-03-03,0.0976420268416405,0.0924340039491653
2016-03-04,0.103109605610371,0.100737042725086
2016-03-05,0.104182705283165,0.100362412631512
2016-03-06,0.099236749112606,0.0968285650014877
2016-03-07,0.100693888962269,0.0984530374407768
2016-03-08,0.0998711660504341,0.0912587270140648
2016-03-09,0.10039371997118,0.0836127623915672
2016-03-10,0.101393058896065,0.0855335667729378
2016-03-11,0.0947449058294296,0.079770140349865
2016-03-12,0.0964512452483177,0.0840505138039589
2016-03-13,0.125719830393791,0.116418644785881
2016-03-14,0.167130917310715,0.124698027968407
2016-03-15,0.149674624204636,0.121857956051826
2016-03-16,0.133917778730392,0.109563581645489
2016-03-17,0.166360542178154,0.107229754328728
2016-03-18,0.143745228648186,0.103658832609653
2016-03-19,0.127886965870857,0.0921360701322556
2016-03-20,0.119932815432549,0.0888279303908348
2016-03-21,0.112845852971077,0.0868412777781487
2016-03-22,0.110558986663818,0.0862840339541435
2016-03-23,0.110402435064316,0.0857609957456589
2016-03-24,0.109717309474945,0.0862801745533943
2016-03-25,0.100046969950199,0.0784071981906891
2016-03-26,0.0978490188717842,0.0798272117972374
2016-03-27,0.0845235958695412,0.0706841051578522
2016-03-28,0.0875894948840141,0.0758456215262413
2016-03-29,0.0891226157546043,0.0786480829119682
2016-03-30,0.0893839448690414,0.0701497197151184
2016-03-31,0.091806098818779,0.0733538344502449
2016-04-01,0.0769537314772606,0.0653959140181541
2016-04-02,0.0745589807629585,0.0641672238707542
2016-04-03,0.0809609144926071,0.0722320750355721
2016-04-04,0.092122420668602,0.0681939497590065
2016-04-05,0.0946439281105995,0.0752665922045708
2016-04-06,0.0932444483041763,0.0787783041596413
2016-04-07,0.0797768086194992,0.0664277374744415
2016-04-08,0.0868906006217003,0.0772546902298927
2016-04-09,0.194218128919601,0.171401813626289
2016-04-10,0.17581807076931,0.153531432151794
2016-04-11,0.150295123457909,0.136529669165611
2016-04-12,0.121366083621979,0.108891293406487
2016-04-13,0.115777604281902,0.105764210224152
2016-04-14,0.111002653837204,0.103101842105389
