,Date,S1 SM Pixel,S1 SM Mean,SMAP
0,2016-02-09,0.5298320738271323,0.5455955712950339,0.139598935842514
1,2016-02-21,0.5796369362267815,0.5455955712950339,0.116631500422955
2,2016-03-04,0.3920855755949188,0.5455955712950339,0.100737042725086
3,2016-03-04,,0.5455955712950339,0.100737042725086
4,2016-05-15,0.6384489273097487,0.5455955712950339,0.176953688263893
5,2016-05-27,0.4081345950392798,0.5455955712950339,0.0614318065345287
6,2016-06-08,0.6316584015376119,0.5455955712950339,0.166733756661415
7,2016-07-02,0.8157016801386379,0.5455955712950339,0.227669641375542
8,2016-07-14,0.8007346803796327,0.5455955712950339,0.140586525201797
9,2016-07-14,,0.5455955712950339,0.140586525201797
10,2016-07-26,0.6572690244010329,0.5455955712950339,0.290706366300583
11,2016-07-26,,0.5455955712950339,0.290706366300583
12,2016-08-07,0.58826558447546,0.5455955712950339,0.10234210640192
13,2016-08-07,,0.5455955712950339,0.10234210640192
14,2016-08-19,0.5847360193290446,0.5455955712950339,0.164329588413239
15,2016-08-19,,0.5455955712950339,0.164329588413239
16,2016-08-31,0.5983819480107874,0.5455955712950339,0.281214386224747
17,2016-08-31,,0.5455955712950339,0.281214386224747
18,2016-09-12,0.6234716586109808,0.5455955712950339,0.13430480659008
19,2016-09-12,,0.5455955712950339,0.13430480659008
20,2016-09-24,0.614754583086337,0.5455955712950339,0.0709592178463936
21,2016-09-24,,0.5455955712950339,0.0709592178463936
22,2016-10-06,0.4089961234518844,0.5455955712950339,0.0955593138933182
23,2016-10-18,0.495069229487473,0.5455955712950339,0.152907177805901
24,2016-10-30,0.5008274318108548,0.5455955712950339,0.0814802274107933
25,2016-11-11,0.2903119965296177,0.5455955712950339,0.0752920359373093
26,2016-11-23,0.4239590747615708,0.5455955712950339,0.0795828774571419
27,2016-12-05,0.3868018894164063,0.5455955712950339,0.162259176373482
28,2016-12-17,0.3235783066680213,0.5455955712950339,0.183824226260185
29,2016-12-29,0.3399124561917211,0.5455955712950339,0.11283166706562
30,2017-01-10,0.5901028550502527,0.5455955712950339,0.100078143179417
31,2017-01-22,0.4583363731317855,0.5455955712950339,0.129455581307411
32,2017-02-03,0.713252303749625,0.5455955712950339,0.0839756652712822
33,2017-02-27,0.2103463309034941,0.5455955712950339,0.0709200724959373
34,2017-03-11,0.4195636950134259,0.5455955712950339,0.113923504948616
35,2017-03-23,0.2118308976423172,0.5455955712950339,0.116311691701412
36,2017-04-04,0.2214675948988537,0.5455955712950339,0.0524879023432732
37,2017-04-16,0.3643972762651081,0.5455955712950339,0.0596238635480404
38,2017-04-28,0.1623535616949987,0.5455955712950339,0.116979204118252
39,2017-05-10,0.4891439560931545,0.5455955712950339,0.222705006599426
40,2017-05-22,0.47975185736523,0.5455955712950339,0.278469830751419
41,2017-06-03,0.5032536900681452,0.5455955712950339,0.251133888959885
42,2017-06-15,0.7335281779541394,0.5455955712950339,0.129062876105309
43,2017-06-27,0.5183334875074226,0.5455955712950339,0.170673832297325
44,2017-07-09,0.6554593984353101,0.5455955712950339,0.147708669304848
45,2017-07-21,0.4511676172805292,0.5455955712950339,0.181889906525612
46,2017-08-02,0.4215077235546883,0.5455955712950339,0.225107222795486
47,2017-08-14,0.4127446879756126,0.5455955712950339,0.253345459699631
48,2017-08-26,0.8487454874001603,0.5455955712950339,0.268128782510757
49,2017-09-07,0.5389886888977038,0.5455955712950339,0.302302867174149
50,2017-09-19,0.402606898297268,0.5455955712950339,0.277802288532257
51,2017-10-01,0.5626152680545687,0.5455955712950339,0.301427006721497
52,2017-10-13,0.695106336139895,0.5455955712950339,0.353044658899307
53,2017-10-25,0.5838588815251531,0.5455955712950339,0.252245217561722
54,2017-11-06,0.6297356296250217,0.5455955712950339,0.322373449802399
55,2017-11-18,0.4881774836675519,0.5455955712950339,0.23310199379921
56,2017-11-30,0.632067453179117,0.5455955712950339,0.189333274960518
57,2017-12-12,0.5692767196026172,0.5455955712950339,0.194232508540154
58,2017-12-24,0.4928143884754926,0.5455955712950339,0.168156787753105
59,2018-01-05,0.4866410484602321,0.5455955712950339,0.153774961829185
60,2018-01-17,0.5940737279452629,0.5455955712950339,0.143381521105766
61,2018-01-29,0.4060626368293921,0.5455955712950339,0.128303959965706
62,2018-02-10,0.6155101522293545,0.5455955712950339,0.184736385941505
63,2018-02-22,0.3267109174220007,0.5455955712950339,0.105964779853821
64,2018-03-06,0.6842024396384337,0.5455955712950339,0.0871550813317299
65,2018-03-18,0.6164655991090066,0.5455955712950339,0.186962559819221
66,2018-03-30,0.2504010797639701,0.5455955712950339,0.123747877776623
67,2018-04-11,0.2477341506227586,0.5455955712950339,0.0822810456156731
68,2018-04-23,0.676934583682718,0.5455955712950339,0.189704969525337
69,2018-05-05,0.420842257226192,0.5455955712950339,0.203171506524086
70,2018-05-17,0.5828337523874562,0.5455955712950339,0.18819834291935
71,2018-05-29,0.909898695245348,0.5455955712950339,0.289483338594437
72,2018-06-10,0.516757277861327,0.5455955712950339,0.235248625278473
73,2018-06-22,0.50361292342472,0.5455955712950339,0.166799694299698
74,2018-07-04,0.5362966873283814,0.5455955712950339,0.208974167704582
75,2018-07-16,0.7084551451477354,0.5455955712950339,0.209066674113274
76,2018-07-28,0.5687852783256017,0.5455955712950339,0.193656533956528
77,2018-08-09,0.4899860012009598,0.5455955712950339,0.13717083632946
78,2018-08-21,0.4056074735365129,0.5455955712950339,0.208107128739357
79,2018-08-21,,0.5455955712950339,0.208107128739357
80,2018-08-21,0.4056074735365129,0.5455955712950339,0.208107128739357
