Date,Corrected_SM
2016-02-09,0.5609207225350664
2016-02-10,0.16541896687842697
2016-02-11,0.16751689040571918
2016-02-12,0.1602109615201967
2016-02-13,0.16123716463859145
2016-02-14,0.1498607247178853
2016-02-15,0.14685616325088913
2016-02-16,0.145100497866074
2016-02-17,0.14730164924541633
2016-02-18,0.14770561019193224
2016-02-19,0.13656481202966017
2016-02-20,0.13571026480528744
2016-02-21,0.0
2016-02-22,-0.0008436158568012115
2016-02-23,-0.0020856872220308626
2016-02-24,-0.0033391756647217787
2016-02-25,-0.003597280664170339
2016-02-26,-0.0036701219626222217
2016-02-27,-0.003757476970324199
2016-02-28,-0.004149102986303041
2016-02-29,-0.004676858293450422
2016-03-01,-0.003813519001890866
2016-03-02,-0.0032732366884617933
2016-03-03,-0.0064398661850762744
2016-03-04,0.425697484499992
2016-03-05,0.08856007003371845
2016-03-06,0.08337815955634865
2016-03-07,0.08489468871299828
2016-03-08,0.0840373940880733
2016-03-09,0.08458159386959616
2016-03-10,0.08562535793759733
2016-03-11,0.07875646512722272
2016-03-12,0.08050266466175453
2016-03-13,0.1122607235899593
2016-03-14,0.16302395071937711
2016-03-15,0.14079248831509564
2016-03-16,0.12176773979433597
2016-03-17,0.1620172359041805
2016-03-18,0.13351729680143914
2016-03-19,0.11474788027568435
2016-03-20,0.10571082386353121
2016-03-21,0.09787133599837892
2016-03-22,0.09538433780139177
2016-03-23,0.09521484771776077
2016-03-24,0.09447424729716945
2016-03-25,0.0842203589289595
2016-03-26,0.08194173245725182
2016-03-27,0.06853921907881219
2016-03-28,0.07156020325835838
2016-03-29,0.07308490815919597
2016-03-30,0.07334573676731512
2016-03-31,0.07577619810909689
2016-04-01,0.06124061491589395
2016-04-02,0.05897920833435263
2016-04-03,0.06507576792521236
2016-04-04,0.07609533024972939
2016-04-05,0.078653492070098
2016-04-06,0.07723054080686072
2016-04-07,0.06393583793586846
2016-04-08,0.07086825264050262
2016-04-09,0.19992410615464704
2016-04-10,0.17453983931382627
2016-04-11,0.1415619175161587
2016-04-12,0.10732060641933569
2016-04-13,0.10109012947243756
2016-04-14,0.0958652030475514
2016-04-15,0.07399646600459957
2016-04-16,0.07785829540283344
2016-04-17,0.08654627317778836
2016-04-18,0.07918237288930491
2016-04-19,0.07992657873212933
2016-04-20,0.05769750055951588
2016-04-21,0.08008679647832233
2016-04-22,0.08849356772353492
2016-04-23,0.14235452755659167
2016-04-24,0.12060541956085555
2016-04-25,0.0899099952440363
2016-04-26,0.13713081289836854
2016-04-27,0.11738977787400501
2016-04-28,0.05150580014192627
