Date,Corrected_SM
2016-02-09,0.5298320738271323
2016-02-10,0.1323233427857122
2016-02-11,0.11214968490833507
2016-02-12,0.1134419655858363
2016-02-13,0.10770603509729446
2016-02-14,0.1103719030782775
2016-02-15,0.11063150933916331
2016-02-16,0.10777087083788137
2016-02-17,0.10927235197980058
2016-02-18,0.10729288796549741
2016-02-19,0.12161242206843573
2016-02-20,0.11623304827076292
2016-02-21,0.5796369362267815
2016-02-22,0.12804324544822016
2016-02-23,0.12043986711580122
2016-02-24,0.11163332705227154
2016-02-25,0.10776309099229775
2016-02-26,0.10812641846669119
2016-02-27,0.11289399091547957
2016-02-28,0.1119990513141118
2016-02-29,0.09944690023410428
2016-03-01,0.09126470311032826
2016-03-02,0.09675475220434933
2016-03-03,0.09410173775015306
2016-03-04,0.3920855755949188
2016-03-05,0.07205530545523235
2016-03-06,0.06889101255735236
2016-03-07,0.07033991955831213
2016-03-08,0.06399658157133903
2016-03-09,0.057462984188653136
2016-03-10,0.05908418603692822
2016-03-11,0.054260316994366405
2016-03-12,0.05783126626111552
2016-03-13,0.08700895811555476
2016-03-14,0.09508908871166745
2016-03-15,0.09228905221467867
2016-03-16,0.08050902445396171
2016-03-17,0.07833540825051026
2016-03-18,0.07504826749349888
2016-03-19,0.06475999098191766
2016-03-20,0.06189619232904452
2016-03-21,0.06019566163521342
2016-03-22,0.05972127145513528
2016-03-23,0.059277036656428216
2016-03-24,0.05971798985741742
2016-03-25,0.053137364767442644
2016-03-26,0.05430748771146635
2016-03-27,0.04690278734518102
2016-03-28,0.05104526196000364
2016-03-29,0.053335338566043805
2016-03-30,0.0464794848611892
2016-03-31,0.04903323722461617
2016-04-01,0.042759931353117786
2016-04-02,0.04181203138838872
2016-04-03,0.04813488806253652
2016-04-04,0.04493918808472319
2016-04-05,0.05057568749963571
2016-04-06,0.053442450927422495
2016-04-07,0.04356022924563388
2016-04-08,0.05219310660956701
2016-04-09,0.14537553605386253
2016-04-10,0.1251899057818325
2016-04-11,0.10707211062658295
2016-04-12,0.079880839671348
2016-04-13,0.07698067552782602
2016-04-14,0.07453975512040042
2016-04-15,0.0550032455828747
2016-04-16,0.05628665517766359
2016-04-17,0.042988823008502576
2016-04-18,0.057676644417114196
2016-04-19,0.05833259390538319
2016-04-20,0.03610809385444955
2016-04-21,0.043521288355514234
2016-04-22,0.04853340261890474
2016-04-23,0.041987361691778406
2016-04-24,0.04541993879681836
2016-04-25,0.03976869092748062
2016-04-26,0.1462845927565446
2016-04-27,0.11088630478556562
2016-04-28,0.052358340198288326
2016-04-29,0.05206228575345788
2016-04-30,0.05221035027393587
2016-05-01,0.05323520757193348
2016-05-02,0.05514298106738642
2016-05-03,0.1451655760589931
2016-05-04,0.08862067238658536
2016-05-05,0.09877692981157986
2016-05-06,0.17355284322452114
2016-05-07,0.1775888027249711
2016-05-08,0.1353143549698963
2016-05-09,0.17840554721074764
2016-05-10,0.13446453631812275
2016-05-11,0.18384800377252697
2016-05-12,0.15541186243115154
2016-05-13,0.15590177975509725
2016-05-14,0.10809402406415682
2016-05-15,0.6384489273097487
2016-05-16,0.17246355872445698
2016-05-17,0.3156436595718644
2016-05-18,0.2697862645443017
2016-05-19,0.25127801134368233
2016-05-20,0.2269599106844938
2016-05-21,0.1934203097307719
2016-05-22,0.1399060911672418
2016-05-23,0.13004850450565403
2016-05-24,0.12058106438584401
2016-05-25,0.05895158703827357
2016-05-26,0.07249988550587279
2016-05-27,0.4081345950392798
2016-05-28,0.1659851142041561
2016-05-29,0.26086721125517
2016-05-30,0.2152551655500977
2016-05-31,0.21534672147250986
2016-06-01,0.2152039186244098
2016-06-02,0.23122599715449124
2016-06-03,0.18717789251431746
2016-06-04,0.17582321081856706
2016-06-05,0.20106643043077096
2016-06-06,0.2152479281743277
2016-06-07,0.14903012778710156
2016-06-08,0.6316584015376119
2016-06-09,0.28375848332294035
2016-06-10,0.25461941892764606
2016-06-11,0.2133176067224898
2016-06-12,0.2573029174576851
2016-06-13,0.19806886514135197
2016-06-14,0.18114413590864795
2016-06-15,0.12842048117952246
2016-06-16,0.13072728215013343
2016-06-17,0.1392018170317427
2016-06-18,0.26417878825412816
2016-06-19,0.22082972427641295
2016-06-20,0.17462012581330658
2016-06-21,0.1577294491488248
2016-06-22,0.17745571749698094
2016-06-23,0.3602840873594319
2016-06-24,0.25895872579920876
2016-06-25,0.22948281727803285
2016-06-26,0.28899362564730036
2016-06-27,0.2739224517724672
2016-06-28,0.2881904995779983
2016-06-29,0.3467880943453104
2016-06-30,0.3570513351383426
2016-07-01,0.33361344595258347
2016-07-02,0.8157016801386379
2016-07-03,0.2910744525654945
2016-07-04,0.2396556688250438
2016-07-05,0.25754311590449486
2016-07-06,0.23140324234518087
2016-07-07,0.2566801020048074
2016-07-08,0.3171585399824243
2016-07-09,0.2922521695350386
2016-07-10,0.27023073237834067
2016-07-11,0.2698868829669819
2016-07-12,0.22000308984354064
2016-07-13,0.2244756862605806
2016-07-14,0.8007346803796327
2016-07-15,0.18497406747498352
2016-07-16,0.3403964730843954
2016-07-17,0.36391369416400315
2016-07-18,0.35096353843184314
2016-07-19,0.3871007242986214
2016-07-20,0.31638879652991636
2016-07-21,0.4289477036049962
2016-07-22,0.37813330272856477
2016-07-23,0.34718591147462363
2016-07-24,0.317435362775415
2016-07-25,0.235294767354863
2016-07-26,0.6572690244010329
2016-07-27,0.28985220255974353
2016-07-28,0.31741178686681054
2016-07-29,0.39790223168412364
2016-07-30,0.34273247968672654
2016-07-31,0.34682109864899757
2016-08-01,0.2822354548156562
2016-08-02,0.2581972516275339
2016-08-03,0.2453660888633298
2016-08-04,0.2411670071536464
2016-08-05,0.140311054582324
2016-08-06,0.18217478126717948
2016-08-07,0.58826558447546
2016-08-08,0.13186450809529265
2016-08-09,0.16385142216699713
2016-08-10,0.12751233500601591
2016-08-11,0.15554864559436155
2016-08-12,0.17823581336173236
2016-08-13,0.1405663101221336
2016-08-14,0.1819143718933288
2016-08-15,0.12318554525745866
2016-08-16,0.1653752046035537
2016-08-17,0.18173078919993077
2016-08-18,0.18161498534871368
2016-08-19,0.5847360193290446
2016-08-20,0.17575375671310203
2016-08-21,0.10210980123514164
2016-08-22,0.12212442686186144
2016-08-23,0.09263338575125249
2016-08-24,0.10847197355845084
2016-08-25,0.14584143776479125
